p.value,HR (95% CI for HR)
0.208,1.06 (0.969-1.16)
0.0203,1.13 (1.02-1.25)
0.00749,1.17 (1.04-1.32)
0.0394,1.14 (1.01-1.29)
0.174,1.09 (0.963-1.23)
0.0206,0.86 (0.757-0.977)
0.299,1.07 (0.943-1.21)
0.783,1.02 (0.891-1.17)
0.00844,1.2 (1.05-1.37)
0.705,1.03 (0.889-1.19)
0.0117,1.19 (1.04-1.37)
0.081,1.13 (0.985-1.29)
0.118,1.12 (0.971-1.3)
0.791,1.02 (0.875-1.19)
0.00696,0.827 (0.72-0.949)
0.0332,1.18 (1.01-1.38)
0.0977,0.887 (0.77-1.02)
0.0276,0.849 (0.734-0.982)
0.0676,1.15 (0.99-1.34)
0.00418,1.27 (1.08-1.5)
0.148,1.12 (0.96-1.31)
0.0103,1.23 (1.05-1.44)
0.642,1.04 (0.882-1.23)
0.0164,0.808 (0.678-0.962)
0.293,0.916 (0.778-1.08)
0.0123,1.22 (1.04-1.43)
0.107,1.15 (0.97-1.37)
0.0298,1.2 (1.02-1.41)
0.0249,0.818 (0.686-0.975)
0.061,0.843 (0.705-1.01)
0.523,1.06 (0.884-1.27)
0.0435,1.19 (1.01-1.41)
0.154,1.14 (0.951-1.38)
0.056,1.19 (0.996-1.42)
0.892,1.01 (0.84-1.22)
0.83,1.02 (0.849-1.23)
0.00502,0.771 (0.643-0.925)
0.485,1.07 (0.877-1.32)
0.045,1.18 (1-1.39)
0.00128,1.36 (1.13-1.64)
0.162,1.17 (0.94-1.45)
0.396,1.1 (0.887-1.36)
0.18,1.15 (0.937-1.41)
0.195,0.877 (0.719-1.07)
0.0261,1.24 (1.03-1.51)
0.408,1.1 (0.88-1.37)
0.0591,0.833 (0.688-1.01)
0.0498,1.22 (1-1.49)
0.382,1.09 (0.894-1.34)
0.0177,0.781 (0.637-0.958)
0.00699,1.29 (1.07-1.55)
0.0215,1.25 (1.03-1.5)
0.0126,0.754 (0.605-0.941)
0.0193,0.783 (0.638-0.961)
0.007,1.29 (1.07-1.55)
0.838,0.979 (0.8-1.2)
0.161,1.17 (0.941-1.44)
0.0491,0.8 (0.641-0.999)
0.115,1.21 (0.955-1.53)
0.00347,1.34 (1.1-1.63)
0.000552,0.68 (0.547-0.846)
0.044,1.26 (1.01-1.57)
0.0245,1.25 (1.03-1.52)
0.0502,0.817 (0.667-1)
0.924,1.01 (0.81-1.26)
0.0908,1.2 (0.971-1.48)
0.0409,1.24 (1.01-1.52)
0.117,1.22 (0.952-1.56)
0.84,1.02 (0.811-1.29)
0.383,1.11 (0.883-1.38)
0.418,0.911 (0.728-1.14)
0.0733,1.25 (0.979-1.61)
0.129,1.18 (0.952-1.47)
0.000195,0.638 (0.503-0.808)
0.0454,0.792 (0.631-0.995)
0.00419,1.4 (1.11-1.75)
0.155,1.17 (0.942-1.46)
0.0351,1.23 (1.01-1.5)
0.499,1.07 (0.873-1.32)
0.00987,1.33 (1.07-1.64)
0.0102,0.724 (0.565-0.926)
0.00366,1.33 (1.1-1.62)
0.0538,1.29 (0.996-1.67)
0.0486,1.27 (1-1.62)
0.0278,1.26 (1.03-1.54)
0.0767,1.25 (0.976-1.6)
0.576,1.08 (0.823-1.42)
0.00388,1.45 (1.13-1.86)
0.076,0.802 (0.629-1.02)
0.48,1.09 (0.861-1.38)
0.0785,1.22 (0.978-1.51)
0.544,0.926 (0.722-1.19)
0.0173,1.29 (1.05-1.59)
0.00524,1.33 (1.09-1.63)
0.89,0.982 (0.764-1.26)
0.0894,1.27 (0.964-1.67)
0.0947,1.23 (0.965-1.56)
1,1 (0.77-1.3)
