"Exposure","Outcome","Egger_intercept","Egger_intercept_pval","Pleiotropy_Significant"
"ENSG00000072310","Nonalcoholic fatty liver disease",-0.000644,"0.860984","NO"
"ENSG00000122971","Nonalcoholic fatty liver disease",-0.035282,"0.161246","NO"
"ENSG00000131791","Nonalcoholic fatty liver disease",-0.032982,"0.00763403","YES"
"ENSG00000185000","Nonalcoholic fatty liver disease",0.014725,"0.139407","NO"
"ENSG00000073756","Nonalcoholic fatty liver disease",-0.006882,"0.17113","NO"
"ENSG00000169710","Nonalcoholic fatty liver disease",0.008975,"0.328629","NO"
"ENSG00000108786","Nonalcoholic fatty liver disease",-0.016588,"0.0766045","NO"
"ENSG00000100031","Nonalcoholic fatty liver disease",0.004598,"0.59785","NO"
"ENSG00000134824","Nonalcoholic fatty liver disease",0.014243,"0.00053491","YES"
"ENSG00000100300","Nonalcoholic fatty liver disease",-0.006669,"0.265172","NO"
"ENSG00000131473","Nonalcoholic fatty liver disease",0.053718,"8.17737e-05","YES"
"ENSG00000112237","Nonalcoholic fatty liver disease",-0.058908,"0.00126896","YES"
"ENSG00000145675","Nonalcoholic fatty liver disease",0.002667,"0.686282","NO"
"ENSG00000198431","Nonalcoholic fatty liver disease",-0.024714,"0.00457966","YES"
"ENSG00000079459","Nonalcoholic fatty liver disease",0.016611,"0.000130819","YES"
"ENSG00000112304","Nonalcoholic fatty liver disease",-0.01258,"0.272764","NO"
"ENSG00000109819","Nonalcoholic fatty liver disease",-0.002615,"0.631042","NO"
"ENSG00000126821","Nonalcoholic fatty liver disease",-0.127618,"0.515459","NO"
"ENSG00000166311","Nonalcoholic fatty liver disease",0.022522,"0.367816","NO"
"ENSG00000090661","Nonalcoholic fatty liver disease",-0.012665,"0.10827","NO"
"ENSG00000106546","Nonalcoholic fatty liver disease",-0.009987,"0.0934793","NO"
"ENSG00000079435","Nonalcoholic fatty liver disease",0.01958,"0.453897","NO"
"ENSG00000125505","Nonalcoholic fatty liver disease",0.008993,"0.524809","NO"
"ENSG00000084754","Nonalcoholic fatty liver disease",0.026597,"8.89235e-06","YES"
"ENSG00000198911","Nonalcoholic fatty liver disease",-0.029294,"0.217703","NO"
"ENSG00000233276","Nonalcoholic fatty liver disease",0.005606,"0.56047","NO"
"ENSG00000121769","Nonalcoholic fatty liver disease",0.047552,"0.0535889","NO"
"ENSG00000099194","Nonalcoholic fatty liver disease",-0.024181,"0.00200752","YES"
"ENSG00000066322","Nonalcoholic fatty liver disease",0.021826,"0.0521872","NO"
"ENSG00000105974","Nonalcoholic fatty liver disease",-0.002015,"0.866859","NO"
"ENSG00000170522","Nonalcoholic fatty liver disease",-0.005297,"0.469522","NO"
"ENSG00000069667","Nonalcoholic fatty liver disease",-0.008401,"0.455794","NO"
"ENSG00000131408","Nonalcoholic fatty liver disease",-0.011525,"0.705578","NO"
"ENSG00000172531","Nonalcoholic fatty liver disease",0.01383,"0.524406","NO"
"ENSG00000108846","Nonalcoholic fatty liver disease",0.010273,"0.00329554","YES"
"ENSG00000119927","Nonalcoholic fatty liver disease",0.004576,"0.974881","NO"
"ENSG00000160752","Nonalcoholic fatty liver disease",0.048914,"0.000300443","YES"
"ENSG00000103056","Nonalcoholic fatty liver disease",-0.004865,"0.468101","NO"
"ENSG00000116133","Nonalcoholic fatty liver disease",0.02129,"0.00185471","YES"
"ENSG00000113161","Nonalcoholic fatty liver disease",0.022726,"0.0141983","YES"
"ENSG00000186480","Nonalcoholic fatty liver disease",-0.002897,"0.561033","NO"
"ENSG00000125629","Nonalcoholic fatty liver disease",0.009654,"0.426434","NO"
"ENSG00000176170","Nonalcoholic fatty liver disease",-0.008163,"0.178999","NO"
"ENSG00000213639","Nonalcoholic fatty liver disease",0.008231,"0.191082","NO"
