"gene_symbol","ensembl_id","n_snps","ivw_beta","ivw_se","ivw_pval","ivw_or"
"ENSG00000072310","ENSG00000072310",106,-0.0913,0.0064,"5.231e-46",0.913
"ENSG00000122971","ENSG00000122971",22,0.3831,0.0524,"2.603e-13",1.467
"ENSG00000185000","ENSG00000185000",58,-0.0924,0.0159,"6.054e-09",0.912
"ENSG00000073756","ENSG00000073756",59,0.0697,0.0131,"9.311e-08",1.072
"ENSG00000169710","ENSG00000169710",29,0.0685,0.0134,"3.192e-07",1.071
"ENSG00000108786","ENSG00000108786",43,-0.0921,0.0186,"7.528e-07",0.912
"ENSG00000100031","ENSG00000100031",34,-0.132,0.0274,"1.451e-06",0.876
"ENSG00000100300","ENSG00000100300",53,-0.0831,0.02,"3.189e-05",0.92
"ENSG00000145675","ENSG00000145675",47,-0.0741,0.0273,"0.006544",0.929
"ENSG00000112304","ENSG00000112304",42,-0.0366,0.0169,"0.03082",0.964
