"Exposure","Outcome","MR_PRESSO_global_p","n_outliers","outlier_snps","outlier_corrected_beta","outlier_corrected_se","outlier_corrected_p"
"ENSG00000072310","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000122971","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000131791","Nonalcoholic fatty liver disease",0.952,0,NA,NA,NA,NA
"ENSG00000185000","Nonalcoholic fatty liver disease",0.999,0,NA,NA,NA,NA
"ENSG00000073756","Nonalcoholic fatty liver disease",0.348,0,NA,NA,NA,NA
"ENSG00000169710","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000108786","Nonalcoholic fatty liver disease",0.993,0,NA,NA,NA,NA
"ENSG00000100031","Nonalcoholic fatty liver disease",0.996,0,NA,NA,NA,NA
"ENSG00000134824","Nonalcoholic fatty liver disease",0.926,0,NA,NA,NA,NA
"ENSG00000100300","Nonalcoholic fatty liver disease",0.994,0,NA,NA,NA,NA
"ENSG00000131473","Nonalcoholic fatty liver disease",0.032,0,NA,NA,NA,NA
"ENSG00000112237","Nonalcoholic fatty liver disease",0.026,0,NA,NA,NA,NA
"ENSG00000145675","Nonalcoholic fatty liver disease",0.993,0,NA,NA,NA,NA
"ENSG00000198431","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000079459","Nonalcoholic fatty liver disease",0.997,0,NA,NA,NA,NA
"ENSG00000112304","Nonalcoholic fatty liver disease",0.838,0,NA,NA,NA,NA
"ENSG00000109819","Nonalcoholic fatty liver disease",0.76,0,NA,NA,NA,NA
"ENSG00000126821","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000166311","Nonalcoholic fatty liver disease",0.879,0,NA,NA,NA,NA
"ENSG00000090661","Nonalcoholic fatty liver disease",0.783,0,NA,NA,NA,NA
"ENSG00000106546","Nonalcoholic fatty liver disease",0.993,0,NA,NA,NA,NA
"ENSG00000079435","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000125505","Nonalcoholic fatty liver disease",0.201,0,NA,NA,NA,NA
"ENSG00000084754","Nonalcoholic fatty liver disease",0.773,0,NA,NA,NA,NA
"ENSG00000198911","Nonalcoholic fatty liver disease",0.944,0,NA,NA,NA,NA
"ENSG00000233276","Nonalcoholic fatty liver disease",0.889,0,NA,NA,NA,NA
"ENSG00000121769","Nonalcoholic fatty liver disease",0.98,0,NA,NA,NA,NA
"ENSG00000099194","Nonalcoholic fatty liver disease",0.569,0,NA,NA,NA,NA
"ENSG00000066322","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000105974","Nonalcoholic fatty liver disease",1,0,NA,NA,NA,NA
"ENSG00000170522","Nonalcoholic fatty liver disease",0.409,0,NA,NA,NA,NA
"ENSG00000069667","Nonalcoholic fatty liver disease",0.777,0,NA,NA,NA,NA
"ENSG00000131408","Nonalcoholic fatty liver disease",0.91,0,NA,NA,NA,NA
"ENSG00000172531","Nonalcoholic fatty liver disease",0.998,0,NA,NA,NA,NA
"ENSG00000108846","Nonalcoholic fatty liver disease",0.002,0,NA,NA,NA,NA
"ENSG00000119927","Nonalcoholic fatty liver disease",0.992,0,NA,NA,NA,NA
"ENSG00000160752","Nonalcoholic fatty liver disease",0.907,0,NA,NA,NA,NA
"ENSG00000103056","Nonalcoholic fatty liver disease",0.951,0,NA,NA,NA,NA
"ENSG00000116133","Nonalcoholic fatty liver disease",0.954,0,NA,NA,NA,NA
"ENSG00000113161","Nonalcoholic fatty liver disease",0.998,0,NA,NA,NA,NA
"ENSG00000186480","Nonalcoholic fatty liver disease",0.195,0,NA,NA,NA,NA
"ENSG00000125629","Nonalcoholic fatty liver disease",0.001,0,NA,NA,NA,NA
"ENSG00000176170","Nonalcoholic fatty liver disease",0.23,0,NA,NA,NA,NA
"ENSG00000213639","Nonalcoholic fatty liver disease",0.761,0,NA,NA,NA,NA
