"Exposure","Outcome","Steiger_correct_direction","Steiger_pval","Directionality_significant"
"ENSG00000072310","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000122971","Nonalcoholic fatty liver disease","TRUE","8.29e-22","YES"
"ENSG00000131791","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000185000","Nonalcoholic fatty liver disease","TRUE","5.32e-96","YES"
"ENSG00000073756","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000169710","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000108786","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000100031","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000134824","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000100300","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000131473","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000112237","Nonalcoholic fatty liver disease","TRUE","1.27e-42","YES"
"ENSG00000145675","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000198431","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000079459","Nonalcoholic fatty liver disease","TRUE","NA","NO"
"ENSG00000112304","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000109819","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000126821","Nonalcoholic fatty liver disease","TRUE","9.23e-33","YES"
"ENSG00000166311","Nonalcoholic fatty liver disease","TRUE","3.72e-17","YES"
"ENSG00000090661","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000106546","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000079435","Nonalcoholic fatty liver disease","TRUE","1.12e-95","YES"
"ENSG00000125505","Nonalcoholic fatty liver disease","TRUE","1.63e-58","YES"
"ENSG00000084754","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000198911","Nonalcoholic fatty liver disease","TRUE","2.88e-24","YES"
"ENSG00000233276","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000121769","Nonalcoholic fatty liver disease","TRUE","4.01e-27","YES"
"ENSG00000099194","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000066322","Nonalcoholic fatty liver disease","TRUE","2.31e-97","YES"
"ENSG00000105974","Nonalcoholic fatty liver disease","TRUE","1.14e-63","YES"
"ENSG00000170522","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000069667","Nonalcoholic fatty liver disease","TRUE","6.09e-66","YES"
"ENSG00000131408","Nonalcoholic fatty liver disease","TRUE","1.66e-11","YES"
"ENSG00000172531","Nonalcoholic fatty liver disease","TRUE","5.93e-21","YES"
"ENSG00000108846","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000119927","Nonalcoholic fatty liver disease","TRUE","1.05e-22","YES"
"ENSG00000160752","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000103056","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000116133","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000113161","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000186480","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000125629","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000176170","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
"ENSG00000213639","Nonalcoholic fatty liver disease","TRUE","<1e-99","YES"
