original_id,ensembl_id,formatted_exposure_id
ADAM28,ENSG00000042980,eqtl-a-ENSG00000042980
ADM,ENSG00000148926,eqtl-a-ENSG00000148926
ALAS2,ENSG00000158578,eqtl-a-ENSG00000158578
ALPL,ENSG00000162551,eqtl-a-ENSG00000162551
ANK1,ENSG00000029534,eqtl-a-ENSG00000029534
AOC3,ENSG00000131471,eqtl-a-ENSG00000131471
ARHGAP6,ENSG00000047648,eqtl-a-ENSG00000047648
ASGR2,ENSG00000161944,eqtl-a-ENSG00000161944
AVP,ENSG00000101200,eqtl-a-ENSG00000101200
AZU1,ENSG00000172232,eqtl-a-ENSG00000172232
AZU1,ENSG00000278624,eqtl-a-ENSG00000278624
BACE2,ENSG00000182240,eqtl-a-ENSG00000182240
BCAM,ENSG00000187244,eqtl-a-ENSG00000187244
BPI,ENSG00000101425,eqtl-a-ENSG00000101425
C1QB,ENSG00000173369,eqtl-a-ENSG00000173369
CADM3,ENSG00000162706,eqtl-a-ENSG00000162706
CAMP,ENSG00000164047,eqtl-a-ENSG00000164047
CAPZA2,ENSG00000198898,eqtl-a-ENSG00000198898
CD226,ENSG00000150637,eqtl-a-ENSG00000150637
CD24,ENSG00000272398,eqtl-a-ENSG00000272398
CEACAM6,ENSG00000086548,eqtl-a-ENSG00000086548
CEACAM8,ENSG00000124469,eqtl-a-ENSG00000124469
CENPM,ENSG00000100162,eqtl-a-ENSG00000100162
CHI3L1,ENSG00000133048,eqtl-a-ENSG00000133048
CHIT1,ENSG00000133063,eqtl-a-ENSG00000133063
CLEC18A,ENSG00000157322,eqtl-a-ENSG00000157322
CLEC18A,ENSG00000157335,eqtl-a-ENSG00000157335
COX6A2,ENSG00000156885,eqtl-a-ENSG00000156885
CR1L,ENSG00000197721,eqtl-a-ENSG00000197721
CTSG,ENSG00000100448,eqtl-a-ENSG00000100448
CYP4F2,ENSG00000186115,eqtl-a-ENSG00000186115
CYP7A1,ENSG00000167910,eqtl-a-ENSG00000167910
DEFA3,ENSG00000239839,eqtl-a-ENSG00000239839
DEFA3,ENSG00000284835,eqtl-a-ENSG00000284835
DEFA4,ENSG00000164821,eqtl-a-ENSG00000164821
DEFA4,ENSG00000285318,eqtl-a-ENSG00000285318
DUSP13,NA,NA
EBI3,ENSG00000105246,eqtl-a-ENSG00000105246
ELANE,ENSG00000197561,eqtl-a-ENSG00000197561
ELANE,ENSG00000277571,eqtl-a-ENSG00000277571
ERN2,ENSG00000134398,eqtl-a-ENSG00000134398
EVX1,ENSG00000106038,eqtl-a-ENSG00000106038
FAS,ENSG00000026103,eqtl-a-ENSG00000026103
FKBP10,ENSG00000141756,eqtl-a-ENSG00000141756
FSTL4,ENSG00000053108,eqtl-a-ENSG00000053108
GABRP,ENSG00000094755,eqtl-a-ENSG00000094755
GYPB,ENSG00000250361,eqtl-a-ENSG00000250361
HS3ST1,ENSG00000002587,eqtl-a-ENSG00000002587
HSPA13,ENSG00000155304,eqtl-a-ENSG00000155304
HTRA1,ENSG00000166033,eqtl-a-ENSG00000166033
HTRA3,ENSG00000170801,eqtl-a-ENSG00000170801
IFI27,ENSG00000165949,eqtl-a-ENSG00000165949
IFI27,ENSG00000275214,eqtl-a-ENSG00000275214
IGKV1D-8,ENSG00000239819,eqtl-a-ENSG00000239819
IL1R2,ENSG00000115590,eqtl-a-ENSG00000115590
IL4,ENSG00000113520,eqtl-a-ENSG00000113520
IL7,ENSG00000104432,eqtl-a-ENSG00000104432
ISLR2,ENSG00000167178,eqtl-a-ENSG00000167178
KLF5,ENSG00000102554,eqtl-a-ENSG00000102554
LAMC1,ENSG00000135862,eqtl-a-ENSG00000135862
LCN2,ENSG00000148346,eqtl-a-ENSG00000148346
LEFTY1,ENSG00000243709,eqtl-a-ENSG00000243709
LIPH,ENSG00000163898,eqtl-a-ENSG00000163898
LOXL3,ENSG00000115318,eqtl-a-ENSG00000115318
LPL,ENSG00000175445,eqtl-a-ENSG00000175445
LRRC4,ENSG00000128594,eqtl-a-ENSG00000128594
LTBP1,ENSG00000049323,eqtl-a-ENSG00000049323
LTF,ENSG00000012223,eqtl-a-ENSG00000012223
LUZP2,ENSG00000187398,eqtl-a-ENSG00000187398
MANSC1,ENSG00000111261,eqtl-a-ENSG00000111261
MANSC1,ENSG00000281818,eqtl-a-ENSG00000281818
MFAP3L,ENSG00000198948,eqtl-a-ENSG00000198948
MME,ENSG00000196549,eqtl-a-ENSG00000196549
MMP17,ENSG00000198598,eqtl-a-ENSG00000198598
MMP25,ENSG00000008516,eqtl-a-ENSG00000008516
MMP9,ENSG00000100985,eqtl-a-ENSG00000100985
MMRN1,ENSG00000138722,eqtl-a-ENSG00000138722
MPO,ENSG00000005381,eqtl-a-ENSG00000005381
MS4A3,ENSG00000149516,eqtl-a-ENSG00000149516
MS4A3,ENSG00000284903,eqtl-a-ENSG00000284903
MYCT1,ENSG00000120279,eqtl-a-ENSG00000120279
MYL4,ENSG00000198336,eqtl-a-ENSG00000198336
NID1,ENSG00000116962,eqtl-a-ENSG00000116962
NID2,ENSG00000087303,eqtl-a-ENSG00000087303
NYX,ENSG00000188937,eqtl-a-ENSG00000188937
OLFM4,ENSG00000102837,eqtl-a-ENSG00000102837
ORM1,ENSG00000229314,eqtl-a-ENSG00000229314
ORM2,ENSG00000228278,eqtl-a-ENSG00000228278
OSBP2,ENSG00000184792,eqtl-a-ENSG00000184792
PCOLCE2,ENSG00000163710,eqtl-a-ENSG00000163710
PCSK1N,ENSG00000102109,eqtl-a-ENSG00000102109
PF4,ENSG00000163737,eqtl-a-ENSG00000163737
PGA3,ENSG00000229859,eqtl-a-ENSG00000229859
PGLYRP1,ENSG00000008438,eqtl-a-ENSG00000008438
PI3,ENSG00000124102,eqtl-a-ENSG00000124102
PLOD2,ENSG00000152952,eqtl-a-ENSG00000152952
PPBP,ENSG00000163736,eqtl-a-ENSG00000163736
PRKD1,ENSG00000184304,eqtl-a-ENSG00000184304
PROK2,ENSG00000163421,eqtl-a-ENSG00000163421
PROS1,ENSG00000184500,eqtl-a-ENSG00000184500
PRTN3,ENSG00000196415,eqtl-a-ENSG00000196415
PRTN3,ENSG00000277804,eqtl-a-ENSG00000277804
PTH2,ENSG00000142538,eqtl-a-ENSG00000142538
RASL11A,ENSG00000122035,eqtl-a-ENSG00000122035
RHCE,ENSG00000188672,eqtl-a-ENSG00000188672
RTBDN,ENSG00000132026,eqtl-a-ENSG00000132026
SAP30,ENSG00000164105,eqtl-a-ENSG00000164105
SERPINB10,ENSG00000242550,eqtl-a-ENSG00000242550
SERPINI1,ENSG00000163536,eqtl-a-ENSG00000163536
SFRP5,ENSG00000120057,eqtl-a-ENSG00000120057
SLC1A3,ENSG00000079215,eqtl-a-ENSG00000079215
SLC25A39,ENSG00000013306,eqtl-a-ENSG00000013306
SLPI,ENSG00000124107,eqtl-a-ENSG00000124107
SYNGR4,ENSG00000105467,eqtl-a-ENSG00000105467
TCN1,ENSG00000134827,eqtl-a-ENSG00000134827
TFPI,ENSG00000003436,eqtl-a-ENSG00000003436
THBS4,ENSG00000113296,eqtl-a-ENSG00000113296
THY1,ENSG00000154096,eqtl-a-ENSG00000154096
TNFSF4,ENSG00000117586,eqtl-a-ENSG00000117586
TPST1,ENSG00000169902,eqtl-a-ENSG00000169902
UCHL1,ENSG00000154277,eqtl-a-ENSG00000154277
UCN2,ENSG00000145040,eqtl-a-ENSG00000145040
VEGFC,ENSG00000150630,eqtl-a-ENSG00000150630
VWCE,ENSG00000167992,eqtl-a-ENSG00000167992
WFDC1,ENSG00000103175,eqtl-a-ENSG00000103175
